Date,Time,Address,Players,Max Players,Version
2021-02-08,15:24:26.149188,51.79.37.206:2303,46,99,2.00.146773
2021-02-08,15:29:27.702873,51.79.37.206:2303,51,99,2.00.146773
2021-02-08,15:34:28.784202,51.79.37.206:2303,53,99,2.00.146773
2021-02-08,15:39:30.219495,51.79.37.206:2303,50,99,2.00.146773
2021-02-08,15:44:31.411475,51.79.37.206:2303,54,99,2.00.146773
2021-02-08,15:49:32.537014,51.79.37.206:2303,58,99,2.00.146773
2021-02-08,15:54:33.671095,51.79.37.206:2303,61,99,2.00.146773
2021-02-08,15:59:34.758875,51.79.37.206:2303,55,99,2.00.146773
2021-02-08,16:04:36.256490,51.79.37.206:2303,58,99,2.00.146773
2021-02-08,16:09:37.827219,51.79.37.206:2303,61,99,2.00.146773
2021-02-08,16:14:38.875903,51.79.37.206:2303,63,99,2.00.146773
2021-02-08,16:19:39.784931,51.79.37.206:2303,61,99,2.00.146773
2021-02-08,16:24:40.676579,51.79.37.206:2303,63,99,2.00.146773
2021-02-08,16:29:41.538507,51.79.37.206:2303,67,99,2.00.146773
2021-02-08,16:34:42.813298,51.79.37.206:2303,64,99,2.00.146773
2021-02-08,16:39:43.301230,51.79.37.206:2303,67,99,2.00.146773
2021-02-08,16:44:45.596479,51.79.37.206:2303,72,99,2.00.146773
2021-02-08,16:49:46.760399,51.79.37.206:2303,84,99,2.00.146773
2021-02-08,16:54:48.830978,51.79.37.206:2303,39,99,2.00.146773
2021-02-08,16:59:49.696481,51.79.37.206:2303,56,99,2.00.146773
2021-02-08,17:04:50.368491,51.79.37.206:2303,62,99,2.00.146773
2021-02-08,17:09:51.297221,51.79.37.206:2303,63,99,2.00.146773
2021-02-08,17:14:52.269351,51.79.37.206:2303,70,99,2.00.146773
2021-02-08,17:19:53.284064,51.79.37.206:2303,72,99,2.00.146773
2021-02-08,17:24:54.192704,51.79.37.206:2303,72,99,2.00.146773
2021-02-08,17:29:55.491595,51.79.37.206:2303,72,99,2.00.146773
2021-02-08,17:34:56.617886,51.79.37.206:2303,74,99,2.00.146773
2021-02-08,17:39:57.524066,51.79.37.206:2303,78,99,2.00.146773
2021-02-08,17:44:58.506110,51.79.37.206:2303,79,99,2.00.146773
2021-02-08,17:49:59.604196,51.79.37.206:2303,66,99,2.00.146773
2021-02-08,17:55:00.772079,51.79.37.206:2303,65,99,2.00.146773
2021-02-08,18:00:01.527764,51.79.37.206:2303,64,99,2.00.146773
2021-02-08,18:05:02.645729,51.79.37.206:2303,69,99,2.00.146773
2021-02-08,18:10:05.023326,51.79.37.206:2303,73,99,2.00.146773
2021-02-08,18:15:06.574092,51.79.37.206:2303,75,99,2.00.146773
2021-02-08,18:20:07.897878,51.79.37.206:2303,76,99,2.00.146773
2021-02-08,18:25:08.462047,51.79.37.206:2303,77,99,2.00.146773
2021-02-08,18:30:09.556645,51.79.37.206:2303,81,99,2.00.146773
2021-02-08,18:35:10.339410,51.79.37.206:2303,80,99,2.00.146773
2021-02-08,18:40:11.526212,51.79.37.206:2303,86,99,2.00.146773
2021-02-08,18:45:12.595329,51.79.37.206:2303,90,99,2.00.146773
2021-02-08,18:50:13.482876,51.79.37.206:2303,94,99,2.00.146773
2021-02-08,18:55:14.569065,51.79.37.206:2303,94,99,2.00.146773
2021-02-08,19:00:16.101709,51.79.37.206:2303,96,99,2.00.146773
2021-02-08,19:05:17.511523,51.79.37.206:2303,85,99,2.00.146773
2021-02-08,19:10:18.157141,51.79.37.206:2303,80,99,2.00.146773
2021-02-08,19:15:19.313517,51.79.37.206:2303,84,99,2.00.146773
2021-02-08,19:20:20.481159,51.79.37.206:2303,84,99,2.00.146773
2021-02-08,19:25:21.382018,51.79.37.206:2303,81,99,2.00.146773
2021-02-08,19:30:22.542547,51.79.37.206:2303,81,99,2.00.146773
2021-02-08,19:35:23.221804,51.79.37.206:2303,81,99,2.00.146773
2021-02-08,19:40:24.443035,51.79.37.206:2303,85,99,2.00.146773
2021-02-08,19:45:25.074682,51.79.37.206:2303,84,99,2.00.146773
2021-02-08,19:50:26.395754,51.79.37.206:2303,83,99,2.00.146773
2021-02-08,19:55:27.436408,51.79.37.206:2303,86,99,2.00.146773
2021-02-08,20:00:52.474993,51.79.37.206:2303,86,99,2.00.146773
2021-02-08,20:05:53.604010,51.79.37.206:2303,82,99,2.00.146773
2021-02-08,20:10:54.449105,51.79.37.206:2303,84,99,2.00.146773
2021-02-08,20:15:55.756815,51.79.37.206:2303,78,99,2.00.146773
2021-02-08,20:20:56.443468,51.79.37.206:2303,76,99,2.00.146773
2021-02-08,20:25:57.487115,51.79.37.206:2303,79,99,2.00.146773
2021-02-08,20:30:58.445105,51.79.37.206:2303,82,99,2.00.146773
2021-02-08,20:36:00.003725,51.79.37.206:2303,83,99,2.00.146773
2021-02-08,20:41:01.931359,51.79.37.206:2303,83,99,2.00.146773
2021-02-08,20:46:02.485411,51.79.37.206:2303,82,99,2.00.146773
2021-02-08,20:51:03.496895,51.79.37.206:2303,84,99,2.00.146773
2021-02-08,20:56:04.655764,51.79.37.206:2303,84,99,2.00.146773
2021-02-08,21:01:05.371528,51.79.37.206:2303,83,99,2.00.146773
2021-02-08,21:06:10.944760,51.79.37.206:2303,81,99,2.00.146773
2021-02-08,23:57:43.054337,51.79.37.206:2303,95,99,2.00.146773
2021-02-09,00:02:44.579331,51.79.37.206:2303,95,99,2.00.146773
2021-02-09,00:07:45.170305,51.79.37.206:2303,99,99,2.00.146773
2021-02-09,09:42:36.876746,51.79.37.206:2303,63,99,2.00.146773
2021-02-09,09:52:38.462984,51.79.37.206:2303,64,99,2.00.146773
2021-02-09,09:57:40.511299,51.79.37.206:2303,61,99,2.00.146773
2021-02-09,10:02:42.274737,51.79.37.206:2303,61,99,2.00.146773
2021-02-09,10:07:43.897342,51.79.37.206:2303,64,99,2.00.146773
2021-02-09,10:12:45.691863,51.79.37.206:2303,62,99,2.00.146773
2021-02-09,10:17:47.447000,51.79.37.206:2303,60,99,2.00.146773
2021-02-09,10:22:49.227887,51.79.37.206:2303,61,99,2.00.146773
2021-02-09,10:27:51.313148,51.79.37.206:2303,62,99,2.00.146773
2021-02-09,10:32:53.200718,51.79.37.206:2303,41,99,2.00.146773
2021-02-09,10:42:56.197474,51.79.37.206:2303,38,99,2.00.146773
2021-02-09,10:47:58.328407,51.79.37.206:2303,39,99,2.00.146773
2021-02-09,10:53:00.024721,51.79.37.206:2303,37,99,2.00.146773
2021-02-09,10:58:02.320029,51.79.37.206:2303,40,99,2.00.146773
2021-02-09,11:03:04.118784,51.79.37.206:2303,44,99,2.00.146773
2021-02-09,11:08:06.265816,51.79.37.206:2303,43,99,2.00.146773
2021-02-09,11:13:08.160258,51.79.37.206:2303,44,99,2.00.146773
2021-02-09,11:18:10.388672,51.79.37.206:2303,45,99,2.00.146773
